Gen
BusNum,MW,Mvar,MvarMax,MvarMin,VoltSet,CustomFloat:0,Status,MWMax,MWMin,ID,AreaNumber,ZoneNumber,FuelTypeCode,UnitTypeCode,CustomString:0,CustomString:1,CustomString:2,CustomString:3
1129,0.000000,0.000000,32.900000,-25.900000,1.020000,,Open,47.000000,1.000000,54,1,74,NG,GT,7910,7910-2,,
1129,0.000000,0.000000,32.900000,-25.900000,1.020000,,Open,47.000000,1.000000,55,1,74,NG,GT,8053,8053-N01,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,6,1,74,NG,GT,2494,2494-GT12,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,16.000000,7,1,74,NG,GT,2494,2494-GT13,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,15.600000,8,1,74,DFO,GT,2494,2494-GT14,,
1129,0.000000,0.000000,14.000000,-11.000000,1.020000,,Open,20.000000,15.899999,9,1,74,DFO,GT,2494,2494-GT15,,
1130,0.000000,0.000000,0.300000,-0.200000,1.020000,,Open,0.400000,0.100000,1,1,74,DFO,IC,61416,61416-CAM12,,
1130,0.000000,0.000000,1.100000,-0.800000,1.020000,,Open,1.500000,0.400000,10,1,74,DFO,IC,61416,61416-AP5,,
1130,0.000000,0.000000,1.100000,-0.800000,1.020000,,Open,1.500000,0.400000,11,1,74,DFO,IC,61416,61416-AP6,,
1130,0.000000,0.000000,1.100000,-0.800000,1.020000,,Open,1.500000,0.400000,12,1,74,DFO,IC,61416,61416-EB10,,
1130,0.000000,0.000000,1.100000,-0.800000,1.020000,,Open,1.500000,0.400000,13,1,74,DFO,IC,61416,61416-EB11,,
1130,0.000000,0.000000,1.800000,-1.400000,1.020000,,Open,2.500000,0.700000,14,1,74,DFO,IC,61416,61416-HES13,,
1130,0.000000,0.000000,1.800000,-1.400000,1.020000,,Open,2.500000,0.700000,15,1,74,DFO,IC,61416,61416-HES14,,
1130,0.000000,0.000000,13.000000,-10.200000,1.020000,,Open,18.500000,8.000000,16,1,74,DFO,GT,2504,2504-GT1,,
1130,0.000000,0.000000,13.000000,-10.200000,1.020000,,Open,18.500000,8.000000,17,1,74,DFO,GT,2504,2504-GT2,,
1130,0.000000,0.000000,0.400000,-0.300000,1.020000,,Open,0.600000,0.100000,2,1,74,DFO,IC,61416,61416-FPA15,,
1130,0.000000,0.000000,0.600000,-0.500000,1.020000,,Open,0.900000,0.300000,3,1,74,DFO,IC,61416,61416-GP7,,
1130,0.000000,0.000000,0.600000,-0.500000,1.020000,,Open,0.900000,0.300000,4,1,74,DFO,IC,61416,61416-GP8,,
1130,0.000000,0.000000,0.600000,-0.500000,1.020000,,Open,0.900000,0.300000,5,1,74,DFO,IC,61416,61416-GP9,,
1130,0.000000,0.000000,0.700000,-0.600000,1.020000,,Open,1.000000,0.300000,6,1,74,DFO,IC,61416,61416-AP1,,
1130,0.000000,0.000000,0.700000,-0.600000,1.020000,,Open,1.000000,0.300000,7,1,74,DFO,IC,61416,61416-AP2,,
1130,0.000000,0.000000,0.700000,-0.600000,1.020000,,Open,1.000000,0.300000,8,1,74,DFO,IC,61416,61416-AP3,,
1130,0.000000,0.000000,0.700000,-0.600000,1.020000,,Open,1.000000,0.300000,9,1,74,DFO,IC,61416,61416-AP4,,
1130,1200.000000,259.562397,9900.000000,-9900.000000,1.020000,,Closed,1250.000000,0.000000,DC,1,74,OTH,DC,DC,Marcy to Rainey,Empire State Connector II,
1131,0.000000,0.000000,11.400000,-9.000000,1.020000,,Open,16.300000,11.000000,1,1,74,DFO,GT,2496,2496-GT3,,
1131,0.000000,0.000000,11.400000,-9.000000,1.020000,,Open,16.300000,11.000000,2,1,74,DFO,GT,2496,2496-GT5,,
1131,0.000000,0.000000,120.749998,-112.699997,1.020000,,Open,161.000001,125.000000,C2,1,74,NG,CC,54914,54914_CC2,,
1131,0.000000,0.000000,120.749998,-112.699997,1.020000,,Open,161.000001,125.000000,C3,1,74,NG,CC,54914,54914_CC1,,
1132,1439.999962,368.940234,9900.000000,-9900.000000,1.020000,,Closed,1439.999962,0.000000,W,1,74,WND,WS,,,,
1132,2.000000,368.940234,9900.000000,-9900.000000,1.020000,,Closed,200.000000,0.000000,x,1,74,UN,UN,0,0,,
1133,0.000000,0.000000,1.000000,-0.800000,1.020000,,Open,1.400000,0.100000,1,1,74,DFO,IC,61238,61238-GRB1,,
1133,0.000000,0.000000,5.400000,-4.200000,1.020000,,Open,7.700000,0.700000,10,1,74,DFO,GT,61238,61238-CGTB,,
1133,0.000000,0.000000,11.200000,-8.800000,1.020000,,Open,16.000000,7.000000,11,1,74,NG,GT,2500,2500-GT1,,
1133,0.000000,0.000000,14.800000,-11.600000,1.020000,,Open,21.100000,7.000000,12,1,74,NG,GT,2500,2500-GT4,,
1133,0.000000,0.000000,14.800000,-11.600000,1.020000,,Open,21.100000,7.000000,13,1,74,NG,GT,2500,2500-GT5,,
1133,0.000000,0.000000,15.400000,-12.100000,1.020000,,Open,22.000000,7.000000,14,1,74,NG,GT,2500,2500-GT6,,
1133,0.000000,0.000000,17.500000,-13.800000,1.020000,,Open,25.000000,10.000000,15,1,74,NG,GT,2500,2500-GT10,,
1133,0.000000,0.000000,17.500000,-13.800000,1.020000,,Open,25.000000,10.000000,16,1,74,NG,GT,2500,2500-GT11,,
1133,0.000000,0.000000,17.500000,-13.800000,1.020000,,Open,25.000000,10.000000,17,1,74,NG,GT,2500,2500-GT9,,
1133,0.000000,0.000000,30.000001,-23.600000,1.020000,,Open,42.899999,10.000000,18,1,74,NG,GT,2500,2500-GT21,,
1133,0.000000,0.000000,30.000001,-23.600000,1.020000,,Open,42.899999,10.000000,19,1,74,NG,GT,2500,2500-GT22,,
1133,0.000000,0.000000,1.000000,-0.800000,1.020000,,Open,1.400000,0.100000,2,1,74,DFO,IC,61238,61238-GRB2,,
1133,42.899999,30.000001,30.000001,-23.600000,1.020000,,Closed,42.899999,10.000000,20,1,74,NG,GT,2500,2500-GT23,,
1133,42.899999,30.000001,30.000001,-23.600000,1.020000,,Closed,42.899999,10.000000,21,1,74,NG,GT,2500,2500-GT24,,
1133,42.899999,30.000001,30.000001,-23.600000,1.020000,,Closed,42.899999,10.000000,22,1,74,NG,GT,2500,2500-GT31,,
1133,42.899999,30.000001,30.000001,-23.600000,1.020000,,Closed,42.899999,10.000000,23,1,74,NG,GT,2500,2500-GT32,,
1133,42.899999,30.000001,30.000001,-23.600000,1.020000,,Closed,42.899999,10.000000,24,1,74,NG,GT,2500,2500-GT34,,
1133,0.000000,0.000000,32.900000,-25.900000,1.020000,,Open,47.000000,1.000000,25,1,74,NG,GT,7909,7909-VG02,,
1133,0.000000,0.000000,32.900000,-25.900000,1.020000,,Open,47.000000,1.000000,26,1,74,NG,GT,7909,7909-VG03,,
1133,0.000000,0.000000,279.999995,-220.000005,1.020000,,Open,400.000000,75.000000,29,1,74,NG,ST,2500,2500-1,,
1133,0.000000,0.000000,1.000000,-0.800000,1.020000,,Open,1.400000,0.100000,3,1,74,NG,IC,61238,61238-GRB3,,
1133,0.000000,0.000000,279.999995,-220.000005,1.020000,,Open,400.000000,75.000000,30,1,74,NG,ST,2500,2500-2,,
1133,0.000000,0.000000,718.900013,-564.900017,1.020000,,Open,1027.000046,150.000000,31,1,74,NG,ST,2500,2500-3,,
1133,0.000000,0.000000,1.100000,-0.800000,1.020000,,Open,1.500000,0.100000,4,1,74,DFO,IC,61238,61238-DHK1,,
1133,0.000000,0.000000,1.100000,-0.800000,1.020000,,Open,1.500000,0.100000,5,1,74,DFO,IC,61238,61238-DHK2,,
1133,0.000000,0.000000,1.100000,-0.800000,1.020000,,Open,1.500000,0.100000,6,1,74,DFO,IC,61238,61238-DHK3,,
1133,0.000000,0.000000,1.100000,-0.800000,1.020000,,Open,1.500000,0.100000,7,1,74,DFO,IC,61238,61238-GRB4,,
1133,0.000000,0.000000,1.800000,-1.400000,1.020000,,Open,2.500000,0.300000,8,1,74,DFO,IC,61238,61238-ANX1,,
1133,0.000000,0.000000,1.800000,-1.400000,1.020000,,Open,2.500000,0.300000,9,1,74,DFO,IC,61238,61238-ANX2,,
1133,268.499994,201.379991,201.379991,-187.950003,1.020000,,Closed,268.499994,114.999998,C1,1,74,NG,CC,2500,2500_CCR4,,
1135,0.000000,0.000000,12.000000,-9.400000,1.020000,,Open,17.100000,3.000000,1,1,74,DFO,GT,2503,2503-GT1,,
1136,0.000000,522.933197,9900.000000,-9900.000000,1.020000,,Closed,200.000000,0.000000,x,1,74,UN,UN,0,0,,
1138,0.000000,20.320219,250.000000,-250.000000,1.020000,,Closed,0.000000,0.000000,QS,1,75,UN,UN,,,,
1146,0.000000,0.000000,19.599999,-15.400000,1.020000,,Open,28.000000,8.000000,1,1,75,MSW,ST,50656,50656-GEN1,,
1147,0.000000,0.000000,55.699998,-43.700001,1.020000,,Open,79.500002,68.099999,1,1,75,NG,GT,7146,7146-1,,
1147,0.000000,0.000000,55.699998,-43.700001,1.020000,,Open,79.500002,66.399997,2,1,75,DFO,GT,7146,7146-02,,
1147,0.000000,0.000000,55.699998,-43.700001,1.020000,,Open,79.500002,65.899998,3,1,75,DFO,GT,7146,7146-03,,
1148,0.000000,0.000000,34.999999,-27.500001,1.020000,,Open,50.000000,39.899999,1,1,75,DFO,GT,55787,55787-CT01,,
1148,0.000000,0.000000,34.999999,-27.500001,1.020000,,Open,50.000000,39.899999,2,1,75,DFO,GT,55787,55787-CT02,,
